epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.62,1.973,2.89325,3.24215,1.96877,0.45513,0.19899,0.0813,0.02818,0.4102,0.13429,0.05287,0.01506,2.33276,3.12437,8.3631,2.60673,0.000274196,0.000274196,0.000274196
2,51.2813,1.93025,2.45838,2.48895,1.85814,0.26888,0.13551,0.08099,0.03309,0.23462,0.07495,0.05309,0.01348,2.31269,3.20431,14.886,2.51848,0.000546399,0.000546399,0.000546399
3,76.3878,1.96046,2.5337,2.44963,1.93086,0.49682,0.22746,0.16067,0.06344,0.47462,0.1912,0.1309,0.04606,2.35112,2.71408,6.43349,2.59557,0.000813104,0.000813104,0.000813104
4,104.306,1.97143,2.52623,2.44927,1.91887,0.36819,0.15994,0.08561,0.03219,0.35121,0.13052,0.06342,0.02003,2.51864,2.80189,10.2211,2.73516,0.00080826,0.00080826,0.00080826
5,131.507,1.94401,2.53339,2.47883,1.92246,0.68207,0.11914,0.14914,0.06091,0.47506,0.17081,0.0993,0.03152,2.29744,2.96248,3.60581,2.31265,0.000800013,0.000800013,0.000800013
6,155.391,1.86312,2.36779,2.34125,1.85153,0.48416,0.22592,0.152,0.06474,0.46798,0.19159,0.14302,0.04527,2.1619,2.32582,2.96982,2.24813,0.000791767,0.000791767,0.000791767
7,181.247,1.80537,2.24813,2.21749,1.81679,0.58231,0.16006,0.17286,0.08056,0.53486,0.13663,0.14127,0.04811,2.11525,2.61541,3.31964,2.19724,0.00078352,0.00078352,0.00078352
8,207.081,1.82584,2.26339,2.1537,1.81873,0.55648,0.27689,0.27854,0.13308,0.53248,0.24213,0.24478,0.0926,1.96055,2.22206,2.2882,2.04075,0.000775273,0.000775273,0.000775273
9,235.076,1.75869,2.21629,2.09313,1.77276,0.52027,0.30068,0.25618,0.10584,0.47259,0.23612,0.20372,0.07247,1.95828,2.07798,2.32117,2.01692,0.000767026,0.000767026,0.000767026
10,262.392,1.70343,2.15841,2.01628,1.7272,0.58104,0.30107,0.28823,0.1291,0.53941,0.2489,0.24859,0.08302,1.95048,2.14766,2.33648,1.99756,0.00075878,0.00075878,0.00075878
11,286.54,1.68815,2.11551,1.97344,1.70945,0.5247,0.25868,0.1841,0.08114,0.47571,0.19384,0.13093,0.03908,2.07055,3.11666,2.90969,2.05288,0.000750533,0.000750533,0.000750533
12,310.873,1.64778,2.03961,1.96497,1.68541,0.62696,0.31575,0.3444,0.18061,0.60525,0.28693,0.30583,0.11632,1.75605,1.94969,1.92778,1.85273,0.000742286,0.000742286,0.000742286
13,335.477,1.67526,2.08097,1.97243,1.70069,0.59649,0.32455,0.30918,0.14611,0.58052,0.28561,0.28079,0.10573,1.84919,2.11858,2.00225,1.92611,0.00073404,0.00073404,0.00073404
14,362.929,1.62065,2.02742,1.87098,1.67941,0.65475,0.31742,0.34917,0.18162,0.63807,0.29288,0.32243,0.11759,1.80091,1.8486,1.87933,1.88084,0.000725793,0.000725793,0.000725793
15,387.034,1.598,2.02238,1.82632,1.66244,0.61025,0.23809,0.26117,0.12103,0.58201,0.20592,0.2303,0.09234,1.94715,2.18559,2.49051,1.96777,0.000717546,0.000717546,0.000717546
16,414.77,1.56421,1.94338,1.78584,1.63572,0.59492,0.32742,0.36305,0.18006,0.61706,0.27376,0.31847,0.12887,1.76064,1.92378,1.95596,1.87905,0.000709299,0.000709299,0.000709299
17,439.202,1.57765,1.97409,1.7916,1.6263,0.60784,0.3069,0.30458,0.14486,0.57434,0.23849,0.23824,0.09152,1.81217,2.04193,2.11261,1.89954,0.000701053,0.000701053,0.000701053
18,466.194,1.59107,1.97438,1.78537,1.63236,0.65087,0.34804,0.38498,0.19846,0.64522,0.30149,0.34884,0.15107,1.6569,1.80209,1.91774,1.79164,0.000692806,0.000692806,0.000692806
19,490.066,1.56499,1.9006,1.74379,1.63628,0.64218,0.32628,0.38739,0.19377,0.61815,0.31539,0.35785,0.14295,1.73683,1.83232,1.84931,1.8567,0.000684559,0.000684559,0.000684559
20,517.588,1.52773,1.8627,1.68919,1.59418,0.64351,0.3832,0.39291,0.20496,0.61633,0.3552,0.34982,0.14521,1.66368,1.79522,1.81418,1.77238,0.000676313,0.000676313,0.000676313
21,541.77,1.52664,1.88449,1.69542,1.59863,0.63307,0.30644,0.37043,0.1868,0.59695,0.3041,0.32309,0.11638,1.74306,1.91232,1.91562,1.87145,0.000668066,0.000668066,0.000668066
22,570.224,1.49949,1.84053,1.68414,1.58343,0.55012,0.43885,0.38294,0.20304,0.52677,0.39659,0.33043,0.12863,1.68528,1.96267,1.81434,1.79159,0.000659819,0.000659819,0.000659819
23,594.059,1.47921,1.83403,1.62819,1.56764,0.55353,0.48264,0.39993,0.21225,0.53948,0.43519,0.36847,0.14819,1.66367,1.68955,1.73576,1.80769,0.000651573,0.000651573,0.000651573
24,618.367,1.46001,1.79111,1.60088,1.56311,0.61562,0.31388,0.34907,0.18495,0.65055,0.24726,0.28648,0.10654,1.72439,2.17236,1.99392,1.82422,0.000643326,0.000643326,0.000643326
25,645.829,1.5052,1.85362,1.64462,1.56991,0.64001,0.39457,0.42008,0.21572,0.59861,0.36228,0.35515,0.1495,1.61479,1.71028,1.85504,1.75028,0.000635079,0.000635079,0.000635079
26,670.207,1.47131,1.81255,1.62965,1.56677,0.68587,0.35835,0.39083,0.21624,0.64701,0.3606,0.3575,0.15467,1.64237,1.76173,1.74428,1.79042,0.000626832,0.000626832,0.000626832
