epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4757,1.40619,1.74387,1.53692,1.59829,0.59888,0.43435,0.44801,0.22776,0.57568,0.41465,0.40059,0.16381,1.52063,1.52166,1.67551,1.79873,0.000274196,0.000274196,0.000274196
2,74.5917,1.41036,1.77137,1.51113,1.58332,0.62085,0.38018,0.38375,0.19176,0.58867,0.34327,0.33984,0.1334,1.68253,1.7473,1.77456,1.91825,0.000543457,0.000543457,0.000543457
3,105.835,1.48984,1.81409,1.6354,1.64567,0.62968,0.35857,0.39429,0.20273,0.60882,0.27881,0.31498,0.12657,1.6159,1.70259,1.75988,1.87192,0.00080426,0.00080426,0.00080426
4,136.896,1.47064,1.83534,1.64087,1.63072,0.56477,0.37378,0.37481,0.19203,0.57257,0.34939,0.34469,0.14705,1.66188,1.61335,1.72402,1.88714,0.000794938,0.000794938,0.000794938
5,167.713,1.49698,1.83882,1.65931,1.66566,0.57362,0.31491,0.31035,0.14973,0.51367,0.28123,0.25777,0.10434,1.94266,2.00742,2.32926,2.14586,0.000782251,0.000782251,0.000782251
6,199.022,1.47432,1.8259,1.65118,1.65077,0.59989,0.39957,0.37898,0.18537,0.56974,0.36046,0.3243,0.13709,1.74848,1.74445,1.80608,1.99382,0.000769564,0.000769564,0.000769564
7,230.657,1.49024,1.84266,1.62913,1.66969,0.61481,0.39451,0.39186,0.1845,0.59039,0.38579,0.36789,0.14321,1.64897,1.60125,1.76639,1.88079,0.000756877,0.000756877,0.000756877
8,261.567,1.47618,1.79825,1.61644,1.65234,0.50783,0.40503,0.34697,0.17134,0.49102,0.36786,0.30243,0.12258,1.69289,1.75432,1.80834,1.93329,0.000744189,0.000744189,0.000744189
9,292.688,1.47019,1.82226,1.59168,1.64773,0.63758,0.38116,0.40489,0.19956,0.62722,0.31438,0.34761,0.14514,1.64692,1.67687,1.76413,1.88416,0.000731502,0.000731502,0.000731502
10,323.674,1.41581,1.76384,1.55998,1.60918,0.52149,0.34347,0.29505,0.14958,0.51483,0.30765,0.24976,0.09685,1.82185,2.33958,2.34136,2.06597,0.000718815,0.000718815,0.000718815
11,354.627,1.43191,1.76821,1.55895,1.60869,0.6224,0.42514,0.39234,0.17147,0.59413,0.37821,0.34564,0.13472,1.73854,1.68046,1.81484,1.97465,0.000706128,0.000706128,0.000706128
12,386.326,1.41636,1.734,1.55397,1.61285,0.60688,0.39655,0.39696,0.19876,0.57475,0.36241,0.33552,0.13982,1.68461,1.71,1.66294,1.91075,0.00069344,0.00069344,0.00069344
13,417.218,1.4334,1.75779,1.56671,1.60147,0.55691,0.47828,0.39417,0.19734,0.52313,0.41733,0.34698,0.12806,1.71048,1.71648,1.79043,1.92881,0.000680753,0.000680753,0.000680753
14,448.117,1.39727,1.70965,1.51451,1.60057,0.57991,0.34877,0.31138,0.16123,0.55441,0.27979,0.25064,0.10037,1.77139,2.09017,2.22115,2.033,0.000668066,0.000668066,0.000668066
15,479.147,1.38733,1.73043,1.44421,1.57473,0.6409,0.43701,0.4301,0.22072,0.62674,0.36812,0.37854,0.15215,1.65751,1.54564,1.5686,1.87781,0.000655379,0.000655379,0.000655379
16,510.43,1.39947,1.69966,1.48071,1.5996,0.64476,0.40971,0.42449,0.21296,0.57921,0.38307,0.36206,0.1461,1.6681,1.71729,1.70283,1.88883,0.000642692,0.000642692,0.000642692
17,542.108,1.40609,1.7047,1.48714,1.59136,0.63446,0.44691,0.45398,0.224,0.6195,0.39674,0.39978,0.16806,1.62595,1.57835,1.73243,1.84598,0.000630004,0.000630004,0.000630004
18,573.953,1.38067,1.71688,1.46285,1.58301,0.64258,0.42635,0.45057,0.23185,0.63628,0.41103,0.42036,0.17092,1.5726,1.52906,1.61703,1.82885,0.000617317,0.000617317,0.000617317
19,605.954,1.36962,1.66394,1.4355,1.55454,0.65248,0.39209,0.43926,0.23324,0.6464,0.35792,0.38827,0.16503,1.59017,1.54241,1.70454,1.86191,0.00060463,0.00060463,0.00060463
20,642.663,1.37015,1.65645,1.42691,1.54216,0.60872,0.40709,0.43416,0.22449,0.5932,0.3753,0.38655,0.15835,1.57804,1.57381,1.66778,1.83857,0.000591943,0.000591943,0.000591943
21,673.557,1.3292,1.63477,1.36204,1.51313,0.64348,0.39367,0.41656,0.21634,0.62445,0.36536,0.36844,0.14788,1.58991,1.60907,1.70345,1.81887,0.000579255,0.000579255,0.000579255
22,705.068,1.32857,1.61672,1.36075,1.52667,0.6526,0.43026,0.4492,0.23632,0.64158,0.40308,0.39278,0.16862,1.52982,1.4781,1.52259,1.79515,0.000566568,0.000566568,0.000566568
23,736.676,1.33684,1.61303,1.35644,1.52915,0.7038,0.39175,0.43931,0.22661,0.67626,0.34581,0.3784,0.16179,1.5918,1.50805,1.57385,1.82921,0.000553881,0.000553881,0.000553881
24,772.545,1.34389,1.61984,1.37147,1.5551,0.58227,0.47262,0.434,0.22631,0.56716,0.43947,0.39729,0.15091,1.64722,1.65006,1.61781,1.87135,0.000541194,0.000541194,0.000541194
25,803.589,1.3562,1.65199,1.3801,1.54288,0.59604,0.41032,0.39672,0.20407,0.5286,0.40111,0.35014,0.14201,1.65921,1.72555,1.83869,1.87064,0.000528506,0.000528506,0.000528506
26,834.71,1.31403,1.5949,1.3837,1.52609,0.50302,0.42137,0.41959,0.2196,0.47515,0.39011,0.37577,0.15242,1.6411,1.60392,1.68791,1.8582,0.000515819,0.000515819,0.000515819
27,866.415,1.31468,1.56465,1.33713,1.50849,0.64357,0.36943,0.39118,0.19174,0.62043,0.33547,0.34691,0.14479,1.65374,1.68702,1.88466,1.86778,0.000503132,0.000503132,0.000503132
28,897.328,1.30511,1.5657,1.2912,1.49889,0.65905,0.44375,0.45696,0.23876,0.65469,0.41937,0.41409,0.17719,1.55744,1.46544,1.51074,1.79297,0.000490445,0.000490445,0.000490445
29,928.942,1.32339,1.57984,1.30743,1.51879,0.59577,0.46928,0.44608,0.23078,0.57191,0.43479,0.39995,0.17375,1.57748,1.49511,1.53087,1.81826,0.000477758,0.000477758,0.000477758
30,965.239,1.29222,1.60055,1.29738,1.50122,0.69409,0.43155,0.48268,0.25047,0.67382,0.40073,0.4453,0.17779,1.54924,1.4855,1.48984,1.77689,0.00046507,0.00046507,0.00046507
31,997.036,1.25992,1.58175,1.266,1.48038,0.6642,0.49097,0.46351,0.23751,0.61773,0.45725,0.41151,0.17549,1.56056,1.48677,1.49585,1.79985,0.000452383,0.000452383,0.000452383
